公表日時,時間,結果,予想,前回,
2009年02月27日,23:55,56.3,56.0,56.2,
2009年02月13日,23:55,56.2,60.6,61.2,
2009年01月17日,00:00,61.9,59.5,60.1,
2008年12月24日,00:00,60.1,58.5,59.1,
2008年12月13日,00:00,59.1,55.0,55.3,
2008年11月26日,23:55,55.3,57.0,57.9,
2008年11月15日,00:00,57.9,56.0,57.6,
2008年10月31日,23:00,57.6, ,57.5,
2008年10月17日,23:00,57.5, ,70.3,
2008年09月26日,23:00,70.3,70.7,73.1,
2008年09月12日,23:00,73.1,64.0,63.0,
2008年08月15日,23:00,61.7,62.0,61.2,
2008年07月25日,23:00,61.2,56.3,56.6,
2008年07月11日,23:00,56.6,55.8,56.4,
2008年06月27日,23:00,56.4,56.8,56.7,
2008年06月13日,22:55,56.7,59.5,59.8,
2008年05月17日,00:00,59.5,62.0,62.6,
2008年04月25日,23:00,62.6,63.3,63.2,
2008年04月11日,23:00,63.2,69.0,69.5,
2008年03月28日,23:00,69.5,70.0,70.5,
2008年03月14日,23:00,70.5,69.0,70.8,
2008年03月01日,00:00,70.8,70.0,69.6,
2008年01月01日 (12月),18:00,75.50, ,75.00,
2007年12月01日 (11月),18:00,76.10, ,82.00,
2007年11月01日 (10月),18:00,80.90, ,83.80,
2007年10月01日 (9月),18:00,83.40, ,83.30,
2007年09月01日 (8月),18:00,83.40, ,92.40,
2007年08月01日 (7月),18:00,90.40, ,83.70,
2007年07月01日 (6月),18:00,85.30, ,88.70,
2007年06月01日 (5月),18:00,88.30, ,85.30,
2007年05月01日 (4月),18:00,87.10, ,88.80,
2007年04月01日 (3月),18:00,88.40, ,93.30,
2007年03月01日 (2月),18:00,91.30, ,98.00,
2007年02月01日 (1月),18:00,96.90, ,90.20,
2007年01月01日 (12月),18:00,91.70, ,92.30,
2006年12月01日 (11月),18:00,92.10, ,92.30,
2006年11月01日 (10月),18:00,93.60, ,84.40,
2006年10月01日 (9月),18:00,85.40, ,78.70,
2006年09月01日 (8月),18:00,82.00, ,83.00,
2006年08月01日 (7月),18:00,84.70, ,82.40,
2006年07月01日 (6月),18:00,84.90, ,79.00,
2006年06月01日 (5月),18:00,79.10, ,89.20,
2006年05月01日 (4月),18:00,87.40, ,86.70,
2006年04月01日 (3月),18:00,88.90, ,87.40,
2006年03月01日 (2月),18:00,86.70, ,93.40,
2006年02月01日 (1月),18:00,91.20, ,88.70,
2006年01月01日 (12月),18:00,91.50, ,79.90,
2005年12月01日 (11月),18:00,81.60, ,75.40,
2005年11月01日 (10月),18:00,74.20, ,76.90,
2005年10月01日 (9月),18:00,76.90, ,92.70,
2005年09月01日 (8月),18:00,89.10, ,96.50,
2005年08月01日 (7月),18:00,96.50, ,94.80,
2005年07月01日 (6月),18:00,96.00, ,85.30,
2005年06月01日 (5月),18:00,86.90, ,88.70,
2005年05月01日 (4月),18:00,87.70, ,92.90,
2005年04月01日 (3月),18:00,92.60, ,94.20,
2005年03月01日 (2月),18:00,94.10, ,95.80,
2005年02月01日 (1月),18:00,95.50, ,95.70,
2005年01月01日 (12月),18:00,97.10, ,95.50,
2004年12月01日 (11月),18:00,92.80, ,87.50,
2004年11月01日 (10月),18:00,91.70, ,95.80,
2004年10月01日 (9月),18:00,94.20, ,94.00,
2004年09月01日 (8月),18:00,95.90, ,96.70,
2004年08月01日 (7月),18:00,96.70, ,94.20,
2004年07月01日 (6月),18:00,95.60, ,94.20,
2004年06月01日 (5月),18:00,90.20, ,93.20,
2004年05月01日 (4月),18:00,94.20, ,94.10,
2004年04月01日 (3月),18:00,95.80, ,93.10,
2004年03月01日 (2月),18:00,94.40, ,103.20,
2004年02月01日 (1月),18:00,103.80, ,89.60,
2004年01月01日 (12月),18:00,92.60, ,93.50,
2003年12月01日 (11月),18:00,93.70, ,89.40,
2003年11月01日 (10月),18:00,89.60, ,88.20,
2003年10月01日 (9月),18:00,87.70, ,90.20,
2003年09月01日 (8月),18:00,89.30, ,90.30,
2003年08月01日 (7月),18:00,90.90, ,87.20,
2003年07月01日 (6月),18:00,89.70, ,93.20,
2003年06月01日 (5月),18:00,92.10, ,83.20,
2003年05月01日 (4月),18:00,86.00, ,75.00,
2003年04月01日 (3月),18:00,77.60, ,79.20,
2003年03月01日 (2月),18:00,79.90, ,83.70,
2003年02月01日 (1月),18:00,82.40, ,87.00,
2003年01月01日 (12月),18:00,86.70, ,85.00,
2002年12月01日 (11月),18:00,84.20, ,80.40,
2002年11月01日 (10月),18:00,80.60, ,86.20,
2002年10月01日 (9月),18:00,86.10, ,87.90,
2002年09月01日 (8月),18:00,87.60, ,86.50,
2002年08月01日 (7月),18:00,88.10, ,90.80,
2002年07月01日 (6月),18:00,92.40, ,96.00,
2002年06月01日 (5月),18:00,96.90, ,94.40,
2002年05月01日 (4月),18:00,93.00, ,95.00,
2002年04月01日 (3月),18:00,95.70, ,90.90,
2002年03月01日 (2月),18:00,90.70, ,94.20,
2002年02月01日 (1月),18:00,93.00, ,85.80,
2002年01月01日 (12月),18:00,88.80, ,83.50,
2001年12月01日 (11月),18:00,83.90, ,83.40,
2001年11月01日 (10月),18:00,82.70, ,83.60,
2001年10月01日 (9月),18:00,81.80, ,93.50,
2001年09月01日 (8月),18:00,91.50, ,93.70,
2001年08月01日 (7月),18:00,92.40, ,91.60,
2001年07月01日 (6月),18:00,92.60, ,92.60,
2001年06月01日 (5月),18:00,92.00, ,87.80,
2001年05月01日 (4月),18:00,88.40, ,91.80,
2001年04月01日 (3月),18:00,91.50, ,87.80,
2001年03月01日 (2月),18:00,90.60, ,93.60,
2001年02月01日 (1月),18:00,94.70, ,97.40,
2001年01月01日 (12月),18:00,98.40, ,107.70,
2000年12月01日 (11月),18:00,107.60, ,106.40,
