公表日時,時間,結果,予想,前回,
1992年08月01日 (7月),18:00,0.30%, ,0.20%,
1992年07月01日 (6月),18:00,0.20%, ,0.30%,
1992年06月01日 (5月),18:00,0.30%, ,0.30%,
1992年05月01日 (4月),18:00,0.30%, ,0.30%,
1992年04月01日 (3月),18:00,0.30%, ,0.20%,
1992年03月01日 (2月),18:00,0.20%, ,0.30%,
1992年02月01日 (1月),18:00,0.30%, ,0.30%,
1992年01月01日 (12月),18:00,0.30%, ,0.30%,
1991年12月01日 (11月),18:00,0.30%, ,0.20%,
1991年11月01日 (10月),18:00,0.20%, ,0.30%,
1991年10月01日 (9月),18:00,0.30%, ,0.40%,
1991年09月01日 (8月),18:00,0.40%, ,0.40%,
1991年08月01日 (7月),18:00,0.40%, ,0.40%,
1991年07月01日 (6月),18:00,0.40%, ,0.30%,
1991年06月01日 (5月),18:00,0.30%, ,0.30%,
1991年05月01日 (4月),18:00,0.30%, ,0.20%,
1991年04月01日 (3月),18:00,0.20%, ,0.50%,
1991年03月01日 (2月),18:00,0.50%, ,0.60%,
1991年02月01日 (1月),18:00,0.60%, ,0.40%,
1991年01月01日 (12月),18:00,0.40%, ,0.30%,
1990年12月01日 (11月),18:00,0.30%, ,0.40%,
1990年11月01日 (10月),18:00,0.40%, ,0.40%,
1990年10月01日 (9月),18:00,0.40%, ,0.60%,
1990年09月01日 (8月),18:00,0.60%, ,0.50%,
1990年08月01日 (7月),18:00,0.50%, ,0.50%,
1990年07月01日 (6月),18:00,0.50%, ,0.30%,
1990年06月01日 (5月),18:00,0.30%, ,0.40%,
1990年05月01日 (4月),18:00,0.40%, ,0.60%,
1990年04月01日 (3月),18:00,0.60%, ,0.50%,
1990年03月01日 (2月),18:00,0.50%, ,0.40%,
1990年02月01日 (1月),18:00,0.40%, ,0.40%,
1990年01月01日 (12月),18:00,0.40%, ,0.40%,
1989年12月01日 (11月),18:00,0.40%, ,0.50%,
1989年11月01日 (10月),18:00,0.50%, ,0.30%,
1989年10月01日 (9月),18:00,0.30%, ,0.20%,
1989年09月01日 (8月),18:00,0.20%, ,0.30%,
1989年08月01日 (7月),18:00,0.30%, ,0.40%,
1989年07月01日 (6月),18:00,0.40%, ,0.40%,
1989年06月01日 (5月),18:00,0.40%, ,0.30%,
1989年05月01日 (4月),18:00,0.30%, ,0.40%,
1989年04月01日 (3月),18:00,0.40%, ,0.30%,
1989年03月01日 (2月),18:00,0.30%, ,0.40%,
1989年02月01日 (1月),18:00,0.40%, ,0.30%,
1989年01月01日 (12月),18:00,0.30%, ,0.30%,
1988年12月01日 (11月),18:00,0.30%, ,0.40%,
1988年11月01日 (10月),18:00,0.40%, ,0.60%,
1988年10月01日 (9月),18:00,0.60%, ,0.30%,
1988年09月01日 (8月),18:00,0.30%, ,0.30%,
1988年08月01日 (7月),18:00,0.30%, ,0.40%,
1988年07月01日 (6月),18:00,0.40%, ,0.30%,
1988年06月01日 (5月),18:00,0.30%, ,0.50%,
1988年05月01日 (4月),18:00,0.50%, ,0.40%,
1988年04月01日 (3月),18:00,0.40%, ,0.20%,
1988年03月01日 (2月),18:00,0.20%, ,0.40%,
1988年02月01日 (1月),18:00,0.40%, ,0.20%,
1988年01月01日 (12月),18:00,0.20%, ,0.30%,
1987年12月01日 (11月),18:00,0.30%, ,0.50%,
1987年11月01日 (10月),18:00,0.50%, ,0.40%,
1987年10月01日 (9月),18:00,0.40%, ,0.30%,
1987年09月01日 (8月),18:00,0.30%, ,0.30%,
1987年08月01日 (7月),18:00,0.30%, ,0.20%,
1987年07月01日 (6月),18:00,0.20%, ,0.30%,
1987年06月01日 (5月),18:00,0.30%, ,0.60%,
1987年05月01日 (4月),18:00,0.60%, ,0.30%,
1987年04月01日 (3月),18:00,0.30%, ,0.30%,
1987年03月01日 (2月),18:00,0.30%, ,0.30%,
1987年02月01日 (1月),18:00,0.30%, ,0.30%,
1987年01月01日 (12月),18:00,0.30%, ,0.30%,
1986年12月01日 (11月),18:00,0.30%, ,0.30%,
1986年11月01日 (10月),18:00,0.30%, ,0.40%,
1986年10月01日 (9月),18:00,0.40%, ,0.40%,
1986年09月01日 (8月),18:00,0.40%, ,0.40%,
1986年08月01日 (7月),18:00,0.40%, ,0.30%,
1986年07月01日 (6月),18:00,0.30%, ,0.20%,
1986年06月01日 (5月),18:00,0.20%, ,0.40%,
1986年05月01日 (4月),18:00,0.40%, ,0.30%,
1986年04月01日 (3月),18:00,0.30%, ,0.30%,
1986年03月01日 (2月),18:00,0.30%, ,0.40%,
1986年02月01日 (1月),18:00,0.40%, ,0.30%,
1986年01月01日 (12月),18:00,0.30%, ,0.50%,
1985年12月01日 (11月),18:00,0.50%, ,0.50%,
1985年11月01日 (10月),18:00,0.50%, ,0.20%,
1985年10月01日 (9月),18:00,0.20%, ,0.40%,
1985年09月01日 (8月),18:00,0.40%, ,0.30%,
1985年08月01日 (7月),18:00,0.30%, ,0.30%,
1985年07月01日 (6月),18:00,0.30%, ,0.40%,
1985年06月01日 (5月),18:00,0.40%, ,0.30%,
1985年05月01日 (4月),18:00,0.30%, ,0.40%,
1985年04月01日 (3月),18:00,0.40%, ,0.60%,
1985年03月01日 (2月),18:00,0.60%, ,0.30%,
1985年02月01日 (1月),18:00,0.30%, ,0.40%,
1985年01月01日 (12月),18:00,0.40%, ,0.20%,
1984年12月01日 (11月),18:00,0.20%, ,0.40%,
1984年11月01日 (10月),18:00,0.40%, ,0.40%,
1984年10月01日 (9月),18:00,0.40%, ,0.40%,
