公表日時,時間,結果,予想,前回,
1994年01月01日 (12月),18:00,0.50%, ,0.40%,
1993年12月01日 (11月),18:00,0.40%, ,0.80%,
1993年11月01日 (10月),18:00,0.80%, ,0.50%,
1993年10月01日 (9月),18:00,0.50%, ,-0.10%,
1993年09月01日 (8月),18:00,-0.10%, ,0.30%,
1993年08月01日 (7月),18:00,0.30%, ,0.20%,
1993年07月01日 (6月),18:00,0.20%, ,-0.40%,
1993年06月01日 (5月),18:00,-0.40%, ,0.30%,
1993年05月01日 (4月),18:00,0.30%, ,0.00%,
1993年04月01日 (3月),18:00,0.00%, ,0.40%,
1993年03月01日 (2月),18:00,0.40%, ,0.50%,
1993年02月01日 (1月),18:00,0.50%, ,0.10%,
1993年01月01日 (12月),18:00,0.10%, ,0.40%,
1992年12月01日 (11月),18:00,0.40%, ,0.80%,
1992年11月01日 (10月),18:00,0.80%, ,0.20%,
1992年10月01日 (9月),18:00,0.20%, ,-0.50%,
1992年09月01日 (8月),18:00,-0.50%, ,0.90%,
1992年08月01日 (7月),18:00,0.90%, ,0.00%,
1992年07月01日 (6月),18:00,0.00%, ,0.30%,
1992年06月01日 (5月),18:00,0.30%, ,0.70%,
1992年05月01日 (4月),18:00,0.70%, ,0.90%,
1992年04月01日 (3月),18:00,0.90%, ,0.70%,
1992年03月01日 (2月),18:00,0.70%, ,-0.60%,
1992年02月01日 (1月),18:00,-0.60%, ,-0.40%,
1992年01月01日 (12月),18:00,-0.40%, ,-0.10%,
1991年12月01日 (11月),18:00,-0.10%, ,-0.20%,
1991年11月01日 (10月),18:00,-0.20%, ,0.90%,
1991年10月01日 (9月),18:00,0.90%, ,0.10%,
1991年09月01日 (8月),18:00,0.10%, ,0.00%,
1991年08月01日 (7月),18:00,0.00%, ,0.90%,
1991年07月01日 (6月),18:00,0.90%, ,1.00%,
1991年06月01日 (5月),18:00,1.00%, ,0.20%,
1991年05月01日 (4月),18:00,0.20%, ,-0.50%,
1991年04月01日 (3月),18:00,-0.50%, ,-0.70%,
1991年03月01日 (2月),18:00,-0.70%, ,-0.50%,
1991年02月01日 (1月),18:00,-0.50%, ,-0.70%,
1991年01月01日 (12月),18:00,-0.70%, ,-1.20%,
1990年12月01日 (11月),18:00,-1.20%, ,-0.80%,
1990年11月01日 (10月),18:00,-0.80%, ,0.20%,
1990年10月01日 (9月),18:00,0.20%, ,0.30%,
1990年09月01日 (8月),18:00,0.30%, ,-0.10%,
1990年08月01日 (7月),18:00,-0.10%, ,0.30%,
1990年07月01日 (6月),18:00,0.30%, ,0.20%,
1990年06月01日 (5月),18:00,0.20%, ,-0.10%,
1990年05月01日 (4月),18:00,-0.10%, ,0.50%,
1990年04月01日 (3月),18:00,0.50%, ,0.90%,
1990年03月01日 (2月),18:00,0.90%, ,-0.60%,
1990年02月01日 (1月),18:00,-0.60%, ,0.60%,
1990年01月01日 (12月),18:00,0.60%, ,0.30%,
1989年12月01日 (11月),18:00,0.30%, ,-0.10%,
1989年11月01日 (10月),18:00,-0.10%, ,-0.30%,
1989年10月01日 (9月),18:00,-0.30%, ,0.90%,
1989年09月01日 (8月),18:00,0.90%, ,-1.00%,
1989年08月01日 (7月),18:00,-1.00%, ,0.10%,
1989年07月01日 (6月),18:00,0.10%, ,-0.70%,
1989年06月01日 (5月),18:00,-0.70%, ,0.10%,
1989年05月01日 (4月),18:00,0.10%, ,0.30%,
1989年04月01日 (3月),18:00,0.30%, ,-0.40%,
1989年03月01日 (2月),18:00,-0.40%, ,0.30%,
1989年02月01日 (1月),18:00,0.30%, ,0.50%,
1989年01月01日 (12月),18:00,0.50%, ,0.20%,
1988年12月01日 (11月),18:00,0.20%, ,0.50%,
1988年11月01日 (10月),18:00,0.50%, ,-0.30%,
1988年10月01日 (9月),18:00,-0.30%, ,0.50%,
1988年09月01日 (8月),18:00,0.50%, ,0.00%,
1988年08月01日 (7月),18:00,0.00%, ,0.30%,
1988年07月01日 (6月),18:00,0.30%, ,-0.10%,
1988年06月01日 (5月),18:00,-0.10%, ,0.50%,
1988年05月01日 (4月),18:00,0.50%, ,0.20%,
1988年04月01日 (3月),18:00,0.20%, ,0.40%,
1988年03月01日 (2月),18:00,0.40%, ,0.00%,
1988年02月01日 (1月),18:00,0.00%, ,0.50%,
1988年01月01日 (12月),18:00,0.50%, ,0.50%,
1987年12月01日 (11月),18:00,0.50%, ,1.50%,
1987年11月01日 (10月),18:00,1.50%, ,0.30%,
1987年10月01日 (9月),18:00,0.30%, ,0.80%,
1987年09月01日 (8月),18:00,0.80%, ,0.70%,
1987年08月01日 (7月),18:00,0.70%, ,0.50%,
1987年07月01日 (6月),18:00,0.50%, ,0.70%,
1987年06月01日 (5月),18:00,0.70%, ,0.60%,
1987年05月01日 (4月),18:00,0.60%, ,0.20%,
1987年04月01日 (3月),18:00,0.20%, ,1.30%,
1987年03月01日 (2月),18:00,1.30%, ,-0.30%,
1987年02月01日 (1月),18:00,-0.30%, ,0.90%,
1987年01月01日 (12月),18:00,0.90%, ,0.50%,
1986年12月01日 (11月),18:00,0.50%, ,0.40%,
1986年11月01日 (10月),18:00,0.40%, ,0.20%,
1986年10月01日 (9月),18:00,0.20%, ,-0.20%,
1986年09月01日 (8月),18:00,-0.20%, ,0.60%,
1986年08月01日 (7月),18:00,0.60%, ,-0.30%,
1986年07月01日 (6月),18:00,-0.30%, ,0.20%,
1986年06月01日 (5月),18:00,0.20%, ,0.10%,
1986年05月01日 (4月),18:00,0.10%, ,-0.60%,
1986年04月01日 (3月),18:00,-0.60%, ,-0.70%,
1986年03月01日 (2月),18:00,-0.70%, ,0.50%,
1986年02月01日 (1月),18:00,0.50%, ,1.00%,
1986年01月01日 (12月),18:00,1.00%, ,0.30%,
1985年12月01日 (11月),18:00,0.30%, ,-0.40%,
1985年11月01日 (10月),18:00,-0.40%, ,0.40%,
1985年10月01日 (9月),18:00,0.40%, ,0.40%,
1985年09月01日 (8月),18:00,0.40%, ,-0.70%,
1985年08月01日 (7月),18:00,-0.70%, ,0.10%,
