公表日時,時間,結果,予想,前回,
1992年01月01日 (12月),21:30,7.3%, ,7%,
1991年12月01日 (11月),21:30,7%, ,7%,
1991年11月01日 (10月),21:30,7%, ,6.9%,
1991年10月01日 (9月),21:30,6.9%, ,6.9%,
1991年09月01日 (8月),21:30,6.9%, ,6.8%,
1991年08月01日 (7月),21:30,6.8%, ,6.9%,
1991年07月01日 (6月),21:30,6.9%, ,6.9%,
1991年06月01日 (5月),21:30,6.9%, ,6.7%,
1991年05月01日 (4月),21:30,6.7%, ,6.8%,
1991年04月01日 (3月),21:30,6.8%, ,6.6%,
1991年03月01日 (2月),21:30,6.6%, ,6.4%,
1991年02月01日 (1月),21:30,6.4%, ,6.3%,
1991年01月01日 (12月),21:30,6.3%, ,6.2%,
1990年12月01日 (11月),21:30,6.2%, ,5.9%,
1990年11月01日 (10月),21:30,5.9%, ,5.9%,
1990年10月01日 (9月),21:30,5.9%, ,5.7%,
1990年09月01日 (8月),21:30,5.7%, ,5.5%,
1990年08月01日 (7月),21:30,5.5%, ,5.2%,
1990年07月01日 (6月),21:30,5.2%, ,5.4%,
1990年06月01日 (5月),21:30,5.4%, ,5.4%,
1990年05月01日 (4月),21:30,5.4%, ,5.2%,
1990年04月01日 (3月),21:30,5.2%, ,5.3%,
1990年03月01日 (2月),21:30,5.3%, ,5.4%,
1990年02月01日 (1月),21:30,5.4%, ,5.4%,
1990年01月01日 (12月),21:30,5.4%, ,5.4%,
1989年12月01日 (11月),21:30,5.4%, ,5.3%,
1989年11月01日 (10月),21:30,5.3%, ,5.3%,
1989年10月01日 (9月),21:30,5.3%, ,5.2%,
1989年09月01日 (8月),21:30,5.2%, ,5.2%,
1989年08月01日 (7月),21:30,5.2%, ,5.3%,
1989年07月01日 (6月),21:30,5.3%, ,5.2%,
1989年06月01日 (5月),21:30,5.2%, ,5.2%,
1989年05月01日 (4月),21:30,5.2%, ,5%,
1989年04月01日 (3月),21:30,5%, ,5.2%,
1989年03月01日 (2月),21:30,5.2%, ,5.4%,
1989年02月01日 (1月),21:30,5.4%, ,5.3%,
1989年01月01日 (12月),21:30,5.3%, ,5.3%,
1988年12月01日 (11月),21:30,5.3%, ,5.4%,
1988年11月01日 (10月),21:30,5.4%, ,5.4%,
1988年10月01日 (9月),21:30,5.4%, ,5.6%,
1988年09月01日 (8月),21:30,5.6%, ,5.4%,
1988年08月01日 (7月),21:30,5.4%, ,5.4%,
1988年07月01日 (6月),21:30,5.4%, ,5.6%,
1988年06月01日 (5月),21:30,5.6%, ,5.4%,
1988年05月01日 (4月),21:30,5.4%, ,5.7%,
1988年04月01日 (3月),21:30,5.7%, ,5.7%,
1988年03月01日 (2月),21:30,5.7%, ,5.7%,
1988年02月01日 (1月),21:30,5.7%, ,5.7%,
1988年01月01日 (12月),21:30,5.7%, ,5.8%,
1987年12月01日 (11月),21:30,5.8%, ,6%,
1987年11月01日 (10月),21:30,6%, ,5.9%,
1987年10月01日 (9月),21:30,5.9%, ,6%,
1987年09月01日 (8月),21:30,6%, ,6.1%,
1987年08月01日 (7月),21:30,6.1%, ,6.2%,
1987年07月01日 (6月),21:30,6.2%, ,6.3%,
1987年06月01日 (5月),21:30,6.3%, ,6.3%,
1987年05月01日 (4月),21:30,6.3%, ,6.6%,
1987年04月01日 (3月),21:30,6.6%, ,6.6%,
1987年03月01日 (2月),21:30,6.6%, ,6.6%,
